Company,Domain,Source,Segment,Country,AMLR,CRM,Score,Stage,People,Emails,Last touch,Owner,Vendor,Signal,Notes
Aristocrat Interactive,aristocrat.com,Shortlist,Supplier / B2B,MT / AU,Tier B indirect,CLEAR,24,Email sent,20,11,,,,Massachusetts and Michigan lottery contracts live Jul 2026,
Uplatform,uplatform.com,Visitor,Supplier / B2B,MT,Tier B indirect,CLEAR,14,LinkedIn sent,4,0,,,,Total email gap in Apollo,
Lottomart,lottomart.com,Visitor,Operator,GI / UK,Tier C outside,CLEAR,16,Email sent,5,3,,,,"Manual ID uploads, source of funds deferred to withdrawal",
Fitzdares,fitzdares.com,Visitor,Operator,UK,Tier C outside,CLEAR,18,Email sent,6,6,,,,"Short aliases, never derive an address",
QuinnBet,quinnbet.com,Visitor,Operator,GI / IE,Tier C outside,CLEAR,20,Email sent,4,2,,,,"New Irish GRAI licence, AML team based in Athlone",
Neocasino,neocasino.gg,Visitor,Operator,CW,Tier C outside,HOLD,12,Researched,2,0,,,,Operating entity unconfirmed; two contacts exist in CRM only,
Super Group,supergroup.com,Signals,Operator,MT / ZA,Tier A obliged,CLEAR,18,Email sent,7,5,,,,"sghc.com is empty in Apollo, supergroup.com works",
DigiOutsource,digioutsource.com,Tracker,Operator,,Unknown,NOT IN CRM,,Email sent,1,1,,,,,
EveryMatrix,everymatrix.com,Signals,Supplier / B2B,MT / RO,Tier B indirect,NOT IN CRM,14,Email sent,4,0,,,,,
Playson,playson.com,Tracker,Operator,,Unknown,NOT IN CRM,,LinkedIn sent,1,0,,,,,
PointsBet,pointsbet.com,Signals,Operator,AU,Tier C outside,CLEAR,14,Email sent,5,0,,,,,
Rush Street Interactive,rushstreetinteractive.com,Signals,Operator,US,Tier C outside,CLEAR,20,Email sent,13,8,,,,Lastname-only email pattern,
Kambi,kambi.com,Signals,Supplier / B2B,SE / MT,Tier B indirect,CLEAR,16,Email sent,6,5,,,,,
Altenar,altenar.com,Signals,Supplier / B2B,MT,Tier B indirect,CLEAR,12,LinkedIn sent,4,1,,,,"Near-total Apollo gap, catchall domain",
Agreegain,agreegain.com,Tracker,Operator,,Unknown,NOT IN CRM,,LinkedIn sent,1,0,,,,,
ATG / Hippos,atg.se,Signals,Operator,SE / FI,Tier A obliged,CLEAR,22,Email sent,4,3,,,,Confirmed Finnish licence applicant via the ATG and Suomen Hippos JV,
Compliance Forum,,Tracker,Operator,,Unknown,NOT IN CRM,,LinkedIn sent,1,0,,,,,
Videoslots / Immense,immensegroup.com,Signals,Operator,MT,Tier A obliged,CLEAR,22,Email sent,1,1,,,,GBP 650k UKGC penalty,
ProgressPlay,progressplay.com,Signals,Supplier / B2B,MT,Tier A obliged,CLEAR,26,Email sent,3,2,,,,"GBP 1m UKGC fine with a mandated third-party audit, 134 sites",
Stanleybet,stanleybet.com.mt,Signals,Operator,MT / IT,Tier A obliged,CLEAR,24,Email sent,1,1,,,,"FIAU EUR 225,730 plus daily penalty, no cumulative transaction linking",
SkyCity,skycity.co.nz,Pasted,Operator,NZ,Tier C outside,HOLD,24,LinkedIn sent,2,0,,,,Worked by someone else on the team; AU$21m SA settlement on top of AUSTRAC AU$67m,
ComeOn,comeon.com,Pasted,Operator,MT / SE,Tier A obliged,CLEAR,22,LinkedIn sent,6,0,,,,Lost its Swedish AML appeal Jul 2026,
Supercell,supercell.com,Leadfeeder,Gaming,FI,Tier C outside,CLEAR,14,LinkedIn sent,4,0,,,,"Changed in-game features for Brazil rules Mar 2026; needs the age-assurance pitch, not AML",
Eximia Global,eximiaglobal.com,Tracker,Operator,,Unknown,NOT IN CRM,,LinkedIn sent,4,0,,,,,
EY Malta,ey.com,Partner list,Partner,MT,Partner,HOLD,10,LinkedIn sent,10,0,,,,"Lead status Unresponsive, two closed deals",
10 Leaves,10leaves.ae,Sales Nav,Partner,AE,Partner,NOT IN CRM,14,LinkedIn sent,8,3,,,,VASP and VARA crypto licensing advisory,
CSB Group,csbgroup.com,Partner list,Partner,MT,Partner,CLEAR,18,LinkedIn sent,6,0,,,,Only partner row that names iGaming explicitly,
Betty,hellobetty.com,Sales Nav,Operator,CA / UK,Tier C outside,NOT IN CRM,30,Email sent,12,2,,,,AGCO CA$120k fine 7 Aug 2026 after nine minors deposited; revenue up 190% YoY,
Electronic Arts,ea.com,Sales Nav,Gaming,US,Tier C outside,CLEAR,20,LinkedIn sent,9,0,,,,Facial age estimation plus ID upload live on EA Account,
Fastex,fastex.com,Leadfeeder,Payments,AM,Tier C outside,HOLD,28,LinkedIn sent,1,0,,,,"SoftConstruct group, owned by Max Irwin, do not work separately",
VBET,vbet.com,Leadfeeder,Operator,AM / MT,Tier B indirect,BLOCKED,14,LinkedIn sent,1,0,,,,"Open deal, Offer made",
BVGroup / BetVictor,bv-group.com,Leadfeeder,Operator,GI,Tier B indirect,CLEAR,35,Email sent,8,1,,,,"Arrived on the keyword ""shufti""; Alberta and Irish GRAI both live 1 Jul 2026; open Head of AML req",
Superbet / Super Technologies,superbet.com,Leadfeeder,Operator,RO,Tier A obliged,CLEAR,36,LinkedIn sent,7,0,,,,Senior compliance bench sits on a domainless Apollo org record,
Novibet,novibet.com,Leadfeeder,Operator,GR / MT,Tier A obliged,CLEAR,38,Email sent,8,0,,,,Jumio incumbent; visited a Sumsub-alternative page so Sumsub is a candidate not the incumbent,
Kaizen Gaming,kaizengaming.com,Leadfeeder,Operator,GR / MT,Tier A obliged,HOLD,40,LinkedIn sent,10,0,,,,Jumio incumbent since Portugal Nov 2023; LexisNexis for screening,
Playtech,playtech.com,Leadfeeder,Supplier / B2B,IM / MT,Tier B indirect,CUSTOMER,15,LinkedIn sent,24,2,,,,Closed Live; covers CSMS Ltd,
CSMS,playtech.com,Tracker,Operator,,Unknown,NOT IN CRM,,LinkedIn sent,1,0,,,,,
Lagersoft,lagersoft.com,Tracker,Operator,,Unknown,NOT IN CRM,,LinkedIn sent,2,0,,,,,
10bet,10bet.com,Leadfeeder,Operator,MT,Tier A obliged,CUSTOMER,12,LinkedIn sent,6,1,,,,,
Caspian Tech,caspiantech.az,Tracker,Operator,,Unknown,NOT IN CRM,,LinkedIn sent,4,0,,,,,
GR8 Tech,gr8.tech,Leadfeeder,Supplier / B2B,MT,Tier B indirect,CLEAR,22,LinkedIn sent,5,1,,,,No compliance function findable in Apollo at all,
BetConstruct,betconstruct.com,Leadfeeder,Supplier / B2B,AM / MT,Tier B indirect,HOLD,25,LinkedIn sent,3,0,,,,"Sells its own in-house verification, build-not-buy posture",
Kuwaiti Esports,,Tracker,Operator,,Unknown,NOT IN CRM,,LinkedIn sent,1,0,,,,,
BetBoom,betboom.bet.br,Sales Nav,Operator,BR / RU,Tier C outside,CLEAR,16,LinkedIn sent,3,0,,,,Split across three domains,
Megapari,megapari.com,Sales Nav,Operator,CW,Tier C outside,NOT IN CRM,14,LinkedIn sent,1,0,,,,Operating entity not established from any authoritative source,
Loteria Nacional Dominicana,loterianacional.gob.do,Sales Nav,Operator,DO,Tier C outside,CLEAR,18,LinkedIn sent,2,0,,,,Decree 197-26 makes the administrator coordinator of the bancas regularisation,
Totogaming,totogaming.am,Sales Nav,Operator,AM,Tier C outside,HOLD,18,LinkedIn sent,3,0,,,,Verification outsourced to unnamed third parties; Digitain carries Offer made,
Digitain,digitain.com,Sales Nav,Supplier / B2B,AM,Tier B indirect,HOLD,20,LinkedIn sent,1,0,,,,"UKGC Feb 2026, Isle of Man Jan 2026, Bulgaria, three jurisdictions in three months",
Stoiximan,stoiximan.gr,Sales Nav,Operator,GR / CY,Tier A obliged,HOLD,20,LinkedIn sent,3,0,,,,"Cypriot NBA Class B licence expires 30 Jan 2027; now 100% OPAP, not Kaizen",
Sorte Online / Levante,lottolandcorporate.com,Sales Nav,Operator,BR,Tier C outside,CLEAR,22,LinkedIn sent,3,0,,,,States in writing that verification is outsourced to unnamed third parties,
Pinnacle,pinnacle.com,Sales Nav,Operator,CW,Tier C outside,CLEAR,22,LinkedIn sent,11,0,,,,"No real public trigger, Anjouan licence only",
Ana Gaming,anagaming.com.br,Sales Nav,Operator,BR,Tier C outside,CLEAR,23,LinkedIn sent,4,0,,,,CMO named age verification tools as the next milestone,
AMIG,amig.com.br,Sales Nav,Other,BR,Tier C outside,NOT IN CRM,4,LinkedIn sent,1,0,,,,"Women in gaming association, not a buyer",
Grupo H2,h2grupo.com,Sales Nav,Operator,BR,Tier C outside,NOT IN CRM,27,LinkedIn sent,3,0,,,,Own terms commit to re-verifying every player annually; new LOTEP Paraiba perimeter,
Logrand,logrand.com,Sales Nav,Operator,MX,Tier C outside,CLEAR,26,LinkedIn sent,2,0,,,,"Incode partnership announced 24 Oct 2025, so displacement not greenfield",
bet365,bet365.com,Sales Nav,Operator,UK,Tier C outside,HOLD,28,LinkedIn sent,16,2,,,,Enforceable undertaking with AUSTRAC 7 Jul 2026 to overhaul the AML and CTF programme,
Suprema Gaming,supremapoker.net,Sales Nav,Operator,BR,Tier C outside,NOT IN CRM,30,LinkedIn sent,3,0,,,,Paid incentives to verified accounts Feb 2026; PLD policy names no biometrics while SPA mandates them,
Stake,stake.com,Sales Nav,Operator,AU / CW,Tier C outside,CLEAR,35,LinkedIn sent,9,0,,,,Open AML Manager role in Melbourne; three market entries in six months; direct Curacao CGA licence,
